Team,Name,Type
Telugu Titans,Pawan Sehrawat,Right Raider
Telugu Titans,Vijay Malik,Left Corner
Telugu Titans,Vijay Malik,Left Raider
Telugu Titans,Sanjeevi S,Right Corner
Telugu Titans,Sanjeevi S,
Telugu Titans,Manjeet Sharma,Right Raider
Telugu Titans,Ashish Narwal,Right Raider
Telugu Titans,Omkar Narayan Patil,Right Raider
Telugu Titans,Praful Zaware,Left Raider
Telugu Titans,Nitin,Left Raider
Telugu Titans,Rohit Rathee,Left Raider
Telugu Titans,Chetan Sahu,Left Raider
Telugu Titans,Chetan Sahu,Right Raider
Telugu Titans,Krishan Dhull,Right Corner
Telugu Titans,Shankar Gadai,Right Corner
Telugu Titans,Sagar,Right Cover
Telugu Titans,Amit Kumar,RIght Cover
Telugu Titans,Milad Jabbari,Right Cover
Telugu Titans,Ankit,Left Corner
Telugu Titans,Sunder,Left Corner
Telugu Titans,Mohammad Malek,Left Corner
Telugu Titans,Ajit Pawar,Left Cover
Tamil Thalaivas,Masanamathu,Right Raider
Tamil Thalaivas,Aashish,Left Cover
Tamil Thalaivas,Sourabh fagare,Right Raider
Tamil Thalaivas,Vishal Chahal,Right Raider
Tamil Thalaivas,Anuj Gawde,Left Cover
Tamil Thalaivas,Chandran Ranjit,Left Raider
Tamil Thalaivas,Narender Khandola,Left Raider
Tamil Thalaivas,Sachin,Right Raider
Tamil Thalaivas,Abhishek M,Right Cover
Tamil Thalaivas,Ronak,Right Cover
Tamil Thalaivas,Sahil Gulia,Left Corner
Tamil Thalaivas,Amir Bastami,Right Raider
Tamil Thalaivas,Moein Shafaghi,
Tamil Thalaivas,Nitesh Kumar,Left Corner
Tamil Thalaivas,Sagar Rathee,Right Corner
Tamil Thalaivas,Aashish,Left Cover
Tamil Thalaivas,Mohit,Left Cover
Tamil Thalaivas,Dhiraj Bailmare,
Tamil Thalaivas,Himasnhu,Left Corner
Tamil Thalaivas,Himanshu,Left Raider
Puneri Paltan,Aryavardhan navale,Right Raider
Puneri Paltan,Mohit Goyat,Right Raider
Puneri Paltan,Aditya Shinde,Right Raider
Puneri Paltan,Akash Shinde,Left Raider
Puneri Paltan,Pankaj Mohite,Right Raider
Puneri Paltan,V Ajith Kumar,Left Raider
Puneri Paltan,Abhinesh Nadarajan,Right Cover
Puneri Paltan,Tushar Adavade,Right Cover
Puneri Paltan,Dadaso Pujari,Right Corner
Puneri Paltan,Gaurav Khatri,Right Corner
Puneri Paltan,Sanket Sawant,Left Cover
Puneri Paltan,Vishal Lather,Left Cover
Puneri Paltan,Aman,Left Corner
Puneri Paltan,Mohit Khaler,Left Corner
Puneri Paltan,Sourav,Left Corner
Puneri Paltan,Vaibhav Kamble,Left Corner
Puneri Paltan,Ali Hadi,Right Corner
Puneri Paltan,Amir Hossain Noorzai,Right Corner
Puneri Paltan,Aslam Inamdar,Left Raider
Puneri Paltan,Mohd amaan,Left Corner
Puneri Paltan,Nitin,
Haryana Steelers,Naveen,Right Raider
Haryana Steelers,Sanskar Mishra,Right Raider
Haryana Steelers,Ghanshyam Raka Magar,
Haryana Steelers,Vikas Jadhav,Right Raider
Haryana Steelers,Vikul Lamba,Left Raider
Haryana Steelers,Vinay,Right Raider
Haryana Steelers,Vishal Tate,Right Raider
Haryana Steelers,Jayasoorya,Left Raider
Haryana Steelers,Shivam Patare,Left Raider
Haryana Steelers,N Manikandan,Right Cover
Haryana Steelers,Ashish Gill,Right Corner
Haryana Steelers,Sanjay,Right Cover
Haryana Steelers,Rahul Sethpal,Right Corner
Haryana Steelers,Jaideep,Left Cover
Haryana Steelers,Hardeep,Left Corner
Haryana Steelers,Mohammed Shadloui Chiyaneh,Left Corner
Haryana Steelers,Manikandan,Left Corner
Haryana Steelers,Sahil,
Bengal Warriors,Nitin Dhankar,Right Raider
Bengal Warriors,Sushil Kambrekar,Right Raider
Bengal Warriors,Maninder Singh,Right Raider
Bengal Warriors,Pranay Rane,Right Raider
Bengal Warriors,Vishwas S,Right Raider
Bengal Warriors,Akash Chavan,Left Raider
Bengal Warriors,Arjun Rathi,Left Raider
Bengal Warriors,Deep Kumar,Right Cover
Bengal Warriors,Mayur Kadam ,Right Cover
Bengal Warriors,Sambhaji Wabale,Right Cover
Bengal Warriors,Vaibhav Garje,Right Cover
Bengal Warriors,Deepak Shinde,Right Corner
Bengal Warriors,Hem Raj,Right Corner
Bengal Warriors,Manjeet,Left Cover
Bengal Warriors,Praveen Thakur,Left Cover
Bengal Warriors,Shreyas Umbardand,Left Cover
Bengal Warriors,Aditya Shinde,Left Corner
Bengal Warriors,Fazal Atrachali,Left Corner
Bengal Warriors,Yash Malik,Left Corner
Bengal Warriors,Nitesh Kumar,Right Corner
Bengal Warriors,Chia Ming Chang,
Bengal Warriors,Maharudra Garje,
Bengal Warriors,Sagar Kumar,
Jaipur Pink Panthers,Ritik Sharma,Right Raider
Jaipur Pink Panthers,Sombir Mehra,Right Raider
Jaipur Pink Panthers,Abhijeet Malik,Right Raider
Jaipur Pink Panthers,Amir Hosein Maleki,
Jaipur Pink Panthers,Arjun Deshwal,Right Raider
Jaipur Pink Panthers,Navneet Sehrawat,Left Raider
Jaipur Pink Panthers,Neeraj Narwal,Right Raider
Jaipur Pink Panthers,Shrikant Jadhav,Left Raider
Jaipur Pink Panthers,Vikash Khandola,Left Raider
Jaipur Pink Panthers,K Karnidharan,Left Raider
Jaipur Pink Panthers,Amir Wani,Right Cover
Jaipur Pink Panthers,Nitin Kumar,Right Cover
Jaipur Pink Panthers,Ravi Kumar ,Right Cover
Jaipur Pink Panthers,Surjeet Singh,Right Cover
Jaipur Pink Panthers,Arpit Saroha ,Right Corner
Jaipur Pink Panthers,Lucky Sharma,Right Corner
Jaipur Pink Panthers,Abhishek KS ,Left Cover
Jaipur Pink Panthers,Ronak Singh,Right Corner
Jaipur Pink Panthers,Ankush Rathee,Left Corner
Jaipur Pink Panthers,Mayank Malik,Left Corner
Jaipur Pink Panthers,Reza Mirbagheri,Left Cover
Gujarat Giants,Himanshu,Right Raider
Gujarat Giants,Adesh Siwach,Right Raider
Gujarat Giants,Guman Singh,Left Raider
Gujarat Giants,Himanshu Singh,Right Raider
Gujarat Giants,Monu,Right Raider
Gujarat Giants,Parteek Dahiya,Right Raider
Gujarat Giants,Rakesh,Right Raider
Gujarat Giants,Nitin,Left Raider
Gujarat Giants,Raj Deepak Salunke,Left Raider
Gujarat Giants,Neeraj Kumar,Right Cover
Gujarat Giants,Mohit,RIght Cover
Gujarat Giants,Manuj,Right Corner
Gujarat Giants,Ujval Singh,Left Cover
Gujarat Giants,Balaji D,Left Cover
Gujarat Giants,Rohit,
Gujarat Giants,Sombir,Right Corner
Gujarat Giants,Vahid Rezaaemehr,
Gujarat Giants,Jitendra Yadav,
Gujarat Giants,Mohd Nabibaksh,Right Raider
Gujarat Giants,Rohan Singh,Left Raider
Gujarat Giants,Rohan Singh,Right Raider
Bengaluru Bulls,Jatin,Right Raider
Bengaluru Bulls,Ajinkya Pawar,Left Raider
Bengaluru Bulls,Akshit Dhull,Left Raider
Bengaluru Bulls,Chandranaik M,
Bengaluru Bulls,Jai Bhagwan,Left Raider
Bengaluru Bulls,Jai Bhagwan,Right Raider
Bengaluru Bulls,Pramot Singh,
Bengaluru Bulls,Pardeep Narwal,Left Raider
Bengaluru Bulls,Sushil,Left Raider
Bengaluru Bulls,P Subramanian,Right Cover
Bengaluru Bulls,Hasun Thongkruea,Right Corner
Bengaluru Bulls,Sourabh Nandal,Right Corner
Bengaluru Bulls,Rohit Kumar,Left Cover
Bengaluru Bulls,Aditya Powar,Left Corner
Bengaluru Bulls,Arulnanthababu,Left Corner
Bengaluru Bulls,Surinder Singh,Right Cover
Bengaluru Bulls,Lucky Kumar,
Bengaluru Bulls,Nitin Rawal,Left Corner
Bengaluru Bulls,Pankaj,
Bengaluru Bulls,Parteek,Left Cover
Dabang Delhi,Ashu Malik,Right Raider
Dabang Delhi,md Mijanur Rehman,
Dabang Delhi,Mohit Deshwal,
Dabang Delhi,Naveen Kumar,Right Raider
Dabang Delhi,Aniket Mane,Left Raider
Dabang Delhi,Himanshu,Left Raider
Dabang Delhi,Manu,Left Raider
Dabang Delhi,Parveen,
Dabang Delhi,Vinay,Left Raider
Dabang Delhi,Monu Sharma,Right Corner
Dabang Delhi,Yogesh,Right Corner
Dabang Delhi,Sandeep,Left Cover
Dabang Delhi,Vikrant,Left Cover
Dabang Delhi,Aashish Malik,Left Corner
Dabang Delhi,Brijendra Choudhary,Right Corner
Dabang Delhi,Gaurav Chillar,Right Cover
Dabang Delhi,Nitin Panwar,Right Cover
Dabang Delhi,Rahul,Left Corner
Dabang Delhi,Mhmd Baba ali,
UP Yodhas,Gagan Gowda ,Right Raider
UP Yodhas,Keshav Kumar,Right Raider
UP Yodhas,Bharat Hooda,Left Raider
UP Yodhas,Bharat Hooda,Right Raider
UP Yodhas,Bhavani Rajput,Right Raider
UP Yodhas,Heidarli Ekrami,Left Raider
UP Yodhas,Surender Gill,Right Raider
UP Yodhas,Akshay Suryavanshi,Left Raider
UP Yodhas,Shivam Choudhary,Left Raider
UP Yodhas,Ashu Singh,Right Cover
UP Yodhas,Hitesh ,Right Cover
UP Yodhas,Sachin,Right Cover
UP Yodhas,Sahul Kumar,Right Corner
UP Yodhas,Mahender Singh,Left Cover
UP Yodhas,Vivek,Left Cover
UP Yodhas,Sumit ,Left Corner
UP Yodhas,MhdReza Kaboudrahangi,
UP Yodhas,Gangaram,Left Cover
UP Yodhas,Jayesh Mahajan,Right Corner
